Rip;Stato;ValoreAttuale;Unita;SetDay;ValoreAlSetDay;UltimaRicezione;DataLettura
67303867;0;4304300.0;MeasureUnit.WH;4304300;2021-11-30;2021-12-15T10:46;20211215
67303867;0;9079000.0;MeasureUnit.WH;9079000;2021-12-31;2022-01-15T03:54;202201
67303866;0;3568600.0;MeasureUnit.WH;3568600;2021-11-30;2021-12-15T09:40;20211215
67303866;0;7114200.0;MeasureUnit.WH;7114200;2021-12-31;2022-01-15T09:53;202201
67303865;0;1199200.0;MeasureUnit.WH;1199200;2021-11-30;2021-12-15T10:57;20211215
67303865;0;2649500.0;MeasureUnit.WH;2649500;2021-12-31;2022-01-15T03:20;202201
67303864;0;2873000.0;MeasureUnit.WH;2873000;2021-11-30;2021-12-15T11:14;20211215
67303864;0;6520900.0;MeasureUnit.WH;6520900;2021-12-31;2022-01-15T03:53;202201
67303863;0;0.0;MeasureUnit.WH;0;2021-11-30;2021-12-15T12:22;20211215
67303863;0;0.0;MeasureUnit.WH;0;2021-12-31;2022-01-15T08:56;202201
67303862;0;5240200.0;MeasureUnit.WH;5240200;2021-11-30;2021-12-15T10:34;20211215
67303862;0;10636800.0;MeasureUnit.WH;10636800;2021-12-31;2022-01-15T03:19;202201
67303861;0;7729500.0;MeasureUnit.WH;7729500;2021-11-30;2021-12-15T07:46;20211215
67303861;0;14228600.0;MeasureUnit.WH;14228600;2021-12-31;2022-01-15T04:20;202201
67303860;0;4170100.0;MeasureUnit.WH;4170100;2021-11-30;2021-12-15T07:25;20211215
67303860;0;7943900.0;MeasureUnit.WH;7943900;2021-12-31;2022-01-14T23:48;202201
67303859;0;69900.0;MeasureUnit.WH;69900;2021-11-30;2021-12-15T11:16;20211215
67303858;0;6882100.0;MeasureUnit.WH;6882100;2021-11-30;2021-12-15T10:05;20211215
67303858;0;11997100.0;MeasureUnit.WH;11997100;2021-12-31;2022-01-15T10:19;202201
67303857;0;2664600.0;MeasureUnit.WH;2664600;2021-11-30;2021-12-15T07:38;20211215
67303857;0;5547400.0;MeasureUnit.WH;5547400;2021-12-31;2022-01-15T00:09;202201
67303856;0;283300.0;MeasureUnit.WH;283300;2021-11-30;2021-12-15T06:17;20211215
67303856;0;1175700.0;MeasureUnit.WH;1175700;2021-12-31;2022-01-15T02:44;202201
67303855;0;3589800.0;MeasureUnit.WH;3589800;2021-11-30;2021-12-15T11:00;20211215
67303855;0;6873600.0;MeasureUnit.WH;6873600;2021-12-31;2022-01-15T10:59;202201
67303854;0;0.0;MeasureUnit.WH;0;2021-11-30;2021-12-15T10:06;20211215
67303854;0;0.0;MeasureUnit.WH;0;2021-12-31;2022-01-15T10:02;202201
67303853;0;7431200.0;MeasureUnit.WH;7431200;2021-11-30;2021-12-15T11:11;20211215
67303853;0;15478200.0;MeasureUnit.WH;15478200;2021-12-31;2022-01-15T07:29;202201
67303852;0;3481100.0;MeasureUnit.WH;3481100;2021-11-30;2021-12-15T10:23;20211215
67303852;0;7577300.0;MeasureUnit.WH;7577300;2021-12-31;2022-01-15T07:16;202201
36583208;0;9.628;MeasureUnit.M3;9.6280000000000001136868377216160297393798828125;2021-11-30;2021-12-15T07:46;20211215
36583208;0;16.132;MeasureUnit.M3;16.132000000000001449507180950604379177093505859375;2021-12-31;2022-01-15T08:15;202201
36583207;0;27.387;MeasureUnit.M3;27.38700000000000045474735088646411895751953125;2021-11-30;2021-12-15T07:07;20211215
36583207;0;38.278;MeasureUnit.M3;38.27799999999999869260136620141565799713134765625;2021-12-31;2022-01-15T10:58;202201
36583206;0;34.152;MeasureUnit.M3;34.1520000000000010231815394945442676544189453125;2021-11-30;2021-12-15T07:05;20211215
36583206;0;44.91;MeasureUnit.M3;44.91000000000000369482222595252096652984619140625;2021-12-31;2022-01-15T11:20;202201
36583205;0;27.841;MeasureUnit.M3;27.84100000000000108002495835535228252410888671875;2021-11-30;2021-12-15T11:40;20211215
36583204;0;3.402;MeasureUnit.M3;3.40200000000000013500311979441903531551361083984375;2021-11-30;2021-12-15T10:52;20211215
36583204;0;5.189;MeasureUnit.M3;5.18900000000000005684341886080801486968994140625;2021-12-31;2022-01-15T11:14;202201
36583203;0;24.241;MeasureUnit.M3;24.2409999999999996589394868351519107818603515625;2021-11-30;2021-12-15T07:57;20211215
36583203;0;32.504;MeasureUnit.M3;32.50399999999999778310666442848742008209228515625;2021-12-31;2022-01-15T08:19;202201
36583202;0;13.612;MeasureUnit.M3;13.6120000000000000994759830064140260219573974609375;2021-11-30;2021-12-15T10:52;20211215
36583202;0;19.01;MeasureUnit.M3;19.010000000000001563194018672220408916473388671875;2021-12-31;2022-01-15T11:25;202201
36583201;0;1.29;MeasureUnit.M3;1.29000000000000003552713678800500929355621337890625;2021-11-30;2021-12-15T13:06;20211215
36583201;0;1.814;MeasureUnit.M3;1.81400000000000005684341886080801486968994140625;2021-12-31;2022-01-15T09:39;202201
36583200;0;2.139;MeasureUnit.M3;2.13900000000000023447910280083306133747100830078125;2021-11-30;2021-12-15T07:43;20211215
36583200;0;2.82;MeasureUnit.M3;2.819999999999999840127884453977458178997039794921875;2021-12-31;2022-01-15T08:24;202201
