Rip;Stato;ValoreAttuale;Unita;SetDay;ValoreAlSetDay;UltimaRicezione;DataLettura
93445919;0;2;MeasureUnit.HCA;0;2020-09-30;2021-11-21T06:32;20211121
93445919;0;2;MeasureUnit.HCA;0;2020-09-30;2021-11-22T20:57;20211122
93445919;0;2;MeasureUnit.HCA;0;2020-09-30;2021-11-23T04:44;20211123
93445919;0;2;MeasureUnit.HCA;0;2020-09-30;2021-11-25T06:18;20211125
93445919;0;2;MeasureUnit.HCA;0;2020-09-30;2021-11-26T06:31;20211126
93445919;0;2;MeasureUnit.HCA;0;2020-09-30;2021-11-27T05:32;20211127
93445919;0;2;MeasureUnit.HCA;0;2020-09-30;2021-11-28T05:34;20211128
93445919;0;2;MeasureUnit.HCA;0;2020-09-30;2021-11-29T05:11;20211129
93445919;0;2;MeasureUnit.HCA;0;2020-09-30;2021-11-30T05:11;20211130
93445919;0;2;MeasureUnit.HCA;0;2020-09-30;2021-12-02T21:28;202112
93445919;0;2;MeasureUnit.HCA;0;2020-09-30;2021-12-03T05:23;20211203
93445918;0;97;MeasureUnit.HCA;0;2020-09-30;2021-11-10T05:16;20211110
93445918;0;115;MeasureUnit.HCA;0;2020-09-30;2021-11-12T05:25;20211112
93445918;0;114;MeasureUnit.HCA;0;2020-09-30;2021-11-11T21:52;20211111
93445918;0;95;MeasureUnit.HCA;0;2020-09-30;2021-11-09T20:39;20211109
93445918;0;144;MeasureUnit.HCA;0;2020-09-30;2021-11-15T04:47;20211115
93445918;0;142;MeasureUnit.HCA;0;2020-09-30;2021-11-14T21:02;20211114
93445918;0;132;MeasureUnit.HCA;0;2020-09-30;2021-11-13T21:02;20211113
93445918;0;152;MeasureUnit.HCA;0;2020-09-30;2021-11-16T04:55;20211116
93445918;0;170;MeasureUnit.HCA;0;2020-09-30;2021-11-17T21:17;20211117
93445918;0;171;MeasureUnit.HCA;0;2020-09-30;2021-11-18T04:37;20211118
93445918;0;181;MeasureUnit.HCA;0;2020-09-30;2021-11-19T05:36;20211119
93445918;0;190;MeasureUnit.HCA;0;2020-09-30;2021-11-20T05:55;20211120
93445918;0;200;MeasureUnit.HCA;0;2020-09-30;2021-11-20T21:20;20211120T22
93445918;0;201;MeasureUnit.HCA;0;2020-09-30;2021-11-21T05:11;20211121
93445918;0;212;MeasureUnit.HCA;0;2020-09-30;2021-11-22T05:05;20211122
93445918;0;225;MeasureUnit.HCA;0;2020-09-30;2021-11-23T05:16;20211123
93445918;0;246;MeasureUnit.HCA;0;2020-09-30;2021-11-25T05:07;20211125
93445918;0;260;MeasureUnit.HCA;0;2020-09-30;2021-11-26T05:28;20211126
93445918;0;273;MeasureUnit.HCA;0;2020-09-30;2021-11-27T05:36;20211127
93445918;0;285;MeasureUnit.HCA;0;2020-09-30;2021-11-28T04:43;20211128
93445918;0;301;MeasureUnit.HCA;0;2020-09-30;2021-11-29T05:06;20211129
93445918;0;316;MeasureUnit.HCA;0;2020-09-30;2021-11-30T05:56;20211130
93445918;0;331;MeasureUnit.HCA;0;2020-09-30;2021-12-01T05:45;20211201
93445918;0;343;MeasureUnit.HCA;0;2020-09-30;2021-12-02T05:21;202112
93445918;0;357;MeasureUnit.HCA;0;2020-09-30;2021-12-03T05:10;20211203
93445918;0;400;MeasureUnit.HCA;0;2020-09-30;2021-12-06T05:26;20211206
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-10T04:42;20211110
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-12T06:34;20211112
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-11T21:50;20211111
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-09T21:10;20211109
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-15T05:19;20211115
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-14T21:36;20211114
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-13T22:07;20211113
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-16T05:29;20211116
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-17T20:40;20211117
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-18T05:11;20211118
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-19T05:00;20211119
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-20T05:55;20211120
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-20T22:28;20211120T22
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-21T06:17;20211121
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-22T05:39;20211122
93445917;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-23T04:40;20211123
