sep=;
Nome del  programma;Data ed ora di lettura;Indirizzo radio;Info;Errore (codice) ;Cod. identificazione ;Matricola fabbricante;Versione contatore;Tipo del dispositivo;Stato ;Totalizzatore valore attuale;Unità totalizzate al giorno di memoriz.;Unità memorizzate prima dell'azzeramento;Flags e RSSI;Manomissione in corso;Errore di temperatura;Errore elettronico;RSSI;Valore mensile - 1;Valore mensile - 2;Valore mensile - 3;Valore mensile - 4;Valore mensile - 5;Valore mensile - 6;Valore mensile - 7;Valore mensile - 8;Valore mensile - 9;Valore mensile - 10;Valore mensile - 11;Valore mensile - 12;Valore mensile - 13;Valore mensile - 14;Valore mensile - 15;Valore mensile - 16;Valore mensile - 17;Valore mensile - 18;Valore mensile - 0.5 (-19);Valore mensile - 1.5 (-20);Valore mensile - 2.5 (-21);Valore mensile - 3.5 (-22);Valore mensile - 4.5 (-23);Valore mensile - 5.5 (-24);Valore mensile - 6.5 (-25);Valore mensile - 7.5 (-26);Valore mensile - 8.5 (-27);Valore mensile - 9.5 (-28);Valore mensile - 10.5 (-29);Valore mensile - 11.5 (-30);Valore mensile - 12.5 (-31);Valore mensile - 13.5 (-32);Valore mensile - 14.5 (-33);Valore mensile - 15.5 (-34);Valore mensile - 16.5 (-35);Valore mensile - 17.5 (-36);Data ultima manomissione;Data di messa in servizio;Durata manomissione [min];Temp. radiatore;Temp. ambiente;Temp. max. radiatore periodo attuale;Temp. max radiatore periodo precedente;Data ed ora del dispositivo;N° di serie;Giorno di memorizzazione;Fattore Kc x Kq;Periodo dei valori memorizzati in 19-36;Versione software ;
Son556-Supercom;06/05/2022 09.58.21;13121170;;Lettura OK;13121170;SON;16;Heat cost allocator;0;0;608;608;32;No;No;No;-90 dBm;0;556;488;275;194;103;48;26;26;26;26;26;1;442;360;287;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,64;16,06;20,11;64,24;06/05/2022 08.58;13121170;30/04;1,9821999;;1.08;
Son556-Supercom;06/05/2022 09.58.25;13121171;;Lettura OK;13121171;SON;16;Heat cost allocator;0;0;4580;4580;32;No;No;No;-90 dBm;0;4279;3632;2926;2025;1126;475;119;119;119;119;119;17;4479;3761;3014;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,18;14,99;19,79;67,42;06/05/2022 08.58;13121171;30/04;5,1685596;;1.08;
Son556-Supercom;06/05/2022 09.58.29;13121172;;Lettura OK;13121172;SON;16;Heat cost allocator;0;0;1408;1408;16;No;No;No;-100 dBm;0;1229;980;780;527;299;124;0;0;0;0;0;0;9;9;9;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;17,69;14,78;19,73;60,02;06/05/2022 08.58;13121172;30/04;3,1418397;;1.08;
Son556-Supercom;06/05/2022 09.58.32;13121173;;Lettura OK;13121173;SON;16;Heat cost allocator;0;0;4597;4597;16;No;No;No;-100 dBm;0;4236;3627;2998;2102;1112;448;107;107;107;107;107;14;4109;3557;2990;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;17,76;15,31;19,9;65,9;06/05/2022 08.58;13121173;30/04;5,93812;;1.08;
Son556-Supercom;06/05/2022 09.58.36;13121174;;Lettura OK;13121174;SON;16;Heat cost allocator;0;0;1390;1390;80;No;No;No;-60 dBm;0;1283;1103;911;642;345;134;27;27;27;27;27;3;1313;1140;940;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;17,86;16,47;19,85;66,48;06/05/2022 08.58;13121174;30/04;1,8995199;;1.08;
Son556-Supercom;06/05/2022 09.58.39;13121175;;Lettura OK;13121175;SON;16;Heat cost allocator;0;0;828;828;48;No;No;No;-80 dBm;0;828;828;828;600;84;84;0;0;0;0;0;0;1079;1079;658;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;17,13;14,71;19,48;61,5;06/05/2022 08.58;13121175;30/04;3,7629998;;1.08;
Son556-Supercom;06/05/2022 09.58.43;13121176;;Lettura OK;13121176;SON;16;Heat cost allocator;0;0;1590;1590;48;No;No;No;-80 dBm;0;1537;1272;1024;693;408;161;0;0;0;0;0;0;618;551;456;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;16,57;14,42;19,45;60,92;06/05/2022 08.58;13121176;30/04;3,7629998;;1.08;
Son556-Supercom;06/05/2022 09.58.47;13121177;;Lettura OK;13121177;SON;16;Heat cost allocator;7;0;1536;1536;32;No;No;No;-90 dBm;0;1349;1084;857;582;347;177;58;58;58;58;58;4;1369;1132;901;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,8;15,31;20,31;59,6;06/05/2022 08.58;13121177;30/04;3,5743198;;1.08;
Son556-Supercom;06/05/2022 09.58.50;23110533;;Lettura OK;13110533;SON;16;Heat cost allocator;0;0;0;0;32;No;No;No;-90 dBm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,76;16,46;20,51;28,15;06/05/2022 08.58;13110533;30/04;1,39072;;1.08;
Son556-Supercom;06/05/2022 09.58.54;13110534;;Lettura OK;13110534;SON;16;Heat cost allocator;0;0;0;0;32;No;No;No;-90 dBm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;11/09/2017;;18;18,49;15,83;20,1;28,03;06/05/2022 08.58;13110534;30/04;1,7956399;;1.08;
